trial_index,arm_name,trial_status,generation_method,is_feasible,DamageStats,EconomyStats,SurvivalStats,WavesRemaining,desire_weight,economy_weight,survival_weight,damage_weight,stat_percent_weight,weapon_synergy_weight,armor_desired_wave,armor_undesired_lower,armor_desire_aggr,armor_desire_degr,attack_speed_desired_wave,attack_speed_undesired_lower,attack_speed_desire_aggr,attack_speed_desire_degr,crit_chance_desired_wave,crit_chance_undesired_lower,crit_chance_desire_aggr,crit_chance_desire_degr,dodge_desired_wave,dodge_undesired_lower,dodge_desire_aggr,dodge_desire_degr,elemental_damage_desired_wave,elemental_damage_undesired_lower,elemental_damage_desire_aggr,elemental_damage_desire_degr,engineering_desired_wave,engineering_undesired_lower,engineering_desire_aggr,engineering_desire_degr,harvesting_desired_wave,harvesting_undesired_lower,harvesting_desire_aggr,harvesting_desire_degr,hp_regeneration_desired_wave,hp_regeneration_undesired_lower,hp_regeneration_desire_aggr,hp_regeneration_desire_degr,lifesteal_desired_wave,lifesteal_undesired_lower,lifesteal_desire_aggr,lifesteal_desire_degr,luck_desired_wave,luck_undesired_lower,luck_desire_aggr,luck_desire_degr,max_hp_desired_wave,max_hp_undesired_lower,max_hp_desire_aggr,max_hp_desire_degr,melee_damage_desired_wave,melee_damage_undesired_lower,melee_damage_desire_aggr,melee_damage_desire_degr,percent_damage_desired_wave,percent_damage_undesired_lower,percent_damage_desire_aggr,percent_damage_desire_degr,ranged_damage_desired_wave,ranged_damage_undesired_lower,ranged_damage_desire_aggr,ranged_damage_desire_degr,range_desired_wave,range_undesired_lower,range_desire_aggr,range_desire_degr,speed_desired_wave,speed_undesired_lower,speed_desire_aggr,speed_desire_degr,upgrade_reroll_desired_wave,upgrade_reroll_undesired_lower,upgrade_reroll_desire_aggr,upgrade_reroll_desire_degr,shop_buy_desired_wave,shop_buy_undesired_lower,shop_buy_desire_aggr,shop_buy_desire_degr,take_desired_wave,take_undesired_lower,take_desire_aggr,take_desire_degr,character,start_weapon,difficulty,casename
0,0_0,COMPLETED,Sobol,False,-42.0,-40.0,-18.0,9.0,4.497243821620941,2.073882207274437,3.7836954593658447,3.665778398513794,1.6885425001382828,3.1729721128940582,8,12,18.7060986161232,14.63938570022583,15,2,6.326170951128006,15.556392282247543,9,1,17.76119589805603,12.147068589925766,0,7,5.415255352854729,8.427845686674118,5,3,13.259217947721481,6.061405807733536,0,7,4.902752332389355,4.3251302391290665,8,10,9.806097403168678,6.6166494488716125,15,3,8.12033149600029,1.7778033688664436,6,2,18.110014408826828,18.956502497196198,6,11,7.68534018099308,4.40159384906292,12,11,18.111990302801132,19.31441593170166,17,0,6.28228634595871,3.090468481183052,18,18,7.649742126464844,7.953808382153511,12,8,14.596970230340958,19.592842638492584,15,0,11.091712236404419,7.798554837703705,2,8,7.079588621854782,11.400958240032196,16,5,8.379379913210869,15.509205609560013,2,13,13.761101990938187,11.3906928896904,2,14,1.9230880923569202,3.838110439479351,well_rounded,stick_1,0,WellRounded_With_Stick_trial_c7d9174e28aa5c1f4e51e14db987a5d3
1,1_0,COMPLETED,Sobol,False,-22.0,-52.0,-35.0,7.0,4.615636397153139,4.979242700152099,3.677607359364629,2.6948321694508195,5.700116207823157,2.784241572022438,11,3,9.324742498807609,19.873335661832243,10,9,7.17289596516639,0.5519676096737385,14,14,4.197653732262552,17.63628968782723,6,12,7.355096126906574,15.590448649134487,12,16,14.849766850005835,19.924284814391285,6,16,6.448867846745998,8.679853002075106,19,7,5.640655385330319,16.263897041790187,5,15,14.875650334637612,14.091655069030821,13,15,4.611059113871306,14.208214507438242,12,6,1.1587598910555243,12.310494435485452,18,1,12.324715805239975,13.846925581339747,18,19,14.929800017736852,5.2727824645116925,15,8,18.87063054461032,14.539326520171016,1,10,3.3654617271386087,13.548375683836639,9,20,12.99768529785797,6.091477406676859,6,9,8.803506662603468,9.41803060984239,1,8,18.56060204701498,7.297386747319251,17,10,13.257200302090496,4.165588895790279,14,7,9.837571777869016,14.638810656964779,well_rounded,stick_1,0,WellRounded_With_Stick_trial_2eb795dd43a765774060e4ff3d827f86
2,2_0,COMPLETED,Sobol,False,-31.0,-29.0,-19.0,4.0,5.624353968538344,1.4918767791241407,3.1272875694558024,5.245179160498083,1.6659266632050276,4.4487106977030635,7,17,10.071681543719023,10.387259633745998,6,3,1.8974508680403233,5.733846735674888,4,12,16.12832690635696,19.623762745875865,5,15,0.74571418389678,7.612935816403478,7,2,3.553571845870465,19.64908179314807,1,18,14.619720179587603,3.8305419483222067,8,9,8.784317426849157,3.5996624240651727,5,7,13.22922097146511,6.856519508641213,20,3,18.31864118995145,18.496760313399136,12,7,3.909983383025974,11.495731068309397,14,19,15.753128140699118,9.776062906719744,13,16,15.12244150787592,6.246989015955478,13,1,5.798136677592993,5.380117456428707,13,13,17.114634555298835,1.406139328610152,8,3,3.2963019511662424,7.208307163324207,1,8,11.991511996369809,10.282596511766315,10,15,19.634424600750208,6.667271634563804,10,15,12.304564719554037,18.59958874154836,18,16,17.241178886964917,13.509379690978676,well_rounded,stick_1,0,WellRounded_With_Stick_trial_dd3e81ebc4abc2a47d5ecfa2008c3ca8
3,3_0,COMPLETED,Sobol,False,-48.0,-51.0,-23.0,3.0,4.60414263792336,1.418946766294539,3.533701532520354,3.9472680343315005,2.1142126889899373,1.4959989665076137,20,9,9.272568255662918,1.399373217485845,5,6,8.590138226281852,17.110995132941753,4,14,6.562155382707715,13.791140464600176,0,13,9.047624186147004,9.516798957251012,11,19,2.3328140070661902,4.787713714875281,11,8,14.467073943465948,3.481172330211848,18,0,15.753762206528336,16.281522106844932,14,3,10.931915552355349,3.0305406702682376,0,2,16.536380666308105,3.316103278193623,16,16,14.528979918453842,9.513526401016861,14,13,7.296849424019456,1.1823090785183012,19,9,14.33898848714307,17.3194364560768,7,14,11.879125635139644,17.50344348931685,14,19,19.470659747719765,16.112913080956787,16,1,1.3230443787761033,4.571440641768277,3,1,18.347335619851947,11.871263211593032,18,8,12.849065508693457,8.31542274961248,17,8,16.109518411569297,9.773141017183661,9,7,1.7936799130402505,9.400295435916632,well_rounded,stick_1,0,WellRounded_With_Stick_trial_bc9ef3b67b3e5f72355d25e3872b08cf
4,4_0,COMPLETED,Sobol,False,-19.0,-23.0,-19.0,9.0,3.4280754290521145,4.311691265553236,4.182983030565083,3.923048809170723,3.7039512619376183,5.71775739453733,9,11,6.891514334362,3.9739576540887356,7,6,13.399889249354601,5.757879127282649,11,5,7.258945384994149,2.234619195573032,19,20,13.840102572459728,18.753962522838265,13,5,6.146609388757497,10.41287691751495,20,19,3.7406346863135695,2.6259054066613317,11,20,19.78329130401835,4.194072624202818,19,1,15.137573459651321,12.549623099155724,15,16,3.5045810439623892,10.358599291648716,19,18,16.134782595094293,10.445126975886524,3,18,17.053425882011652,13.146379400976002,0,15,18.443981098011136,10.729560727253556,12,10,11.298757575917989,16.057730085216463,3,9,5.122456923127174,3.789896901231259,1,5,1.2614911771379411,13.1888847486116,0,8,2.6222366727888584,7.156543935183436,0,11,19.493824580218643,4.876221579033881,4,10,19.98191731935367,19.28858874551952,5,18,1.3601635084487498,0.7501161959953606,well_rounded,stick_1,0,WellRounded_With_Stick_trial_7e0bb0308f445776bf0a035e03d876eb
5,5_0,COMPLETED,Sobol,False,-20.0,-16.0,-25.0,9.0,1.9322358667850494,4.813035911880434,3.1151142613962293,2.376386610791087,3.034431081265211,1.230620512738824,4,8,9.27547592530027,19.918925074860454,5,10,13.565751601010561,19.748224107548594,20,19,8.29674479458481,4.825636786408722,2,12,6.2673323336057365,14.593951834365726,15,14,16.574805066455156,16.836048832628876,2,7,6.2539911810308695,19.313158496748656,11,10,6.071813393384218,8.965324751567096,5,18,13.04052754631266,14.405042259488255,5,11,3.7396696945652366,19.48862409265712,12,17,7.305339030455798,13.979103735182434,13,2,7.324965650681406,10.897271756548434,6,7,6.230133223813027,12.668240609113127,7,13,15.485807301942259,2.0639553125947714,5,5,14.330280370078981,12.396811690647155,20,14,12.784994894638658,11.111201179679483,16,16,13.18766319938004,1.0095111755654216,8,15,11.581752774771303,12.990385731682181,9,1,17.608676932752132,2.0228812894783914,0,13,2.4591133859939873,10.279110584408045,well_rounded,stick_1,0,WellRounded_With_Stick_trial_bb0e6cab105b577a6d7470d9e153bd21
6,6_0,COMPLETED,Sobol,False,-24.0,-24.0,-28.0,7.0,3.119556125253439,1.7034119684249163,2.112580792978406,4.420964600518346,5.121216647326946,1.1949747977778316,5,1,15.10798829747364,9.218278934247792,6,10,6.0518418634310365,14.724235890433192,19,15,3.4251754586584866,5.536426887381822,15,7,13.442114448640496,5.941763012204319,1,9,18.519979156088084,14.520005800295621,11,11,3.7324835062026978,10.057934225071222,4,13,1.1892802976071835,7.991601186338812,4,14,17.512602865695953,10.021212108433247,13,16,10.081315679475665,10.453209798783064,7,14,14.809643090236932,7.765653097536415,3,16,3.1064887680113316,17.976915393956006,8,2,2.6369605152867734,16.710571392904967,10,6,1.6424794755876064,3.4239529469050467,14,10,19.776565328240395,16.820839751977473,3,0,8.548671494238079,6.1657503712922335,16,0,19.956950664054602,8.570515546947718,10,12,1.8725211881101131,9.376355773303658,7,11,1.9008432854898274,5.673592865932733,5,3,10.930785751435906,5.298894738778472,well_rounded,stick_1,0,WellRounded_With_Stick_trial_07e3d3b2786a563fc7144448cbed0dd3
7,7_0,COMPLETED,Sobol,False,-30.0,-46.0,-26.0,4.0,2.046515153720975,3.852597562596202,2.601858139038086,1.5349719570949674,3.4252373492345214,2.564670018851757,16,6,4.780004205182195,11.078116996213794,11,2,6.563790580257773,9.489117136690766,13,10,15.658419964835048,1.5771756167523563,1,8,5.0606264607049525,18.124868010170758,14,7,0.909168777987361,8.258947468362749,2,19,17.384354143869132,4.311104697175324,15,12,8.821474912110716,16.93316877959296,9,4,6.573321708012372,1.3123663971200585,10,15,13.45479354960844,4.255171170458198,13,19,14.201446289662272,12.830375858116895,12,15,17.255622363183647,7.246740353293717,14,6,16.21694004861638,7.3101010620594025,15,19,16.66932585928589,11.907995915971696,6,6,18.060826398897916,18.081544736865908,11,12,1.8164791869930923,13.104071570094675,3,12,8.321277025621384,19.219499778468162,13,9,12.584529518149793,5.748267438262701,6,9,5.172835608944297,9.971897190902382,12,10,6.389019398484379,15.441021976061165,well_rounded,stick_1,0,WellRounded_With_Stick_trial_a3dbfb2d754adb1850210d2e52e2196f
8,8_0,COMPLETED,Sobol,False,-71.0,-80.0,-31.0,5.0,2.053633503615856,4.946940875612199,5.643370253033936,3.763269506394863,5.891071785241365,5.356229589320719,1,10,12.776007137726992,9.52959350636229,9,19,9.062013543210924,17.48289440991357,5,6,7.263736873399466,15.060404121410102,8,10,17.301991037558764,3.6161666777916253,3,1,18.678928820881993,11.994875665288419,6,8,1.1194290313869715,2.4069875413551927,12,16,2.4715226902626455,13.42186707444489,4,9,5.663054831326008,0.6791123552247882,12,8,15.524962383322418,2.6139578949660063,2,18,9.812348928302526,1.3203256176784635,9,6,16.077473788056523,17.42603586334735,9,16,5.543744069524109,2.790870306547731,9,4,9.68944343784824,6.92698780586943,18,9,3.0441873599775136,8.58102590451017,14,13,17.638690126594156,10.631266231182963,14,2,11.6075149634853,5.2524220030754805,12,11,10.04504623869434,15.422282764688134,20,0,11.297672704793513,8.136936996132135,16,15,18.90123596182093,10.045040499884635,well_rounded,stick_1,0,WellRounded_With_Stick_trial_6d7c02566cbfa4b61693fa653ff6ac29
9,9_0,COMPLETED,Sobol,False,-56.0,-59.0,-20.0,3.0,3.741171489469707,4.884170930832624,3.7714713336899877,2.837150431238115,5.04040748719126,2.5501603251323104,0,0,9.433881474658847,12.076729197986424,13,5,5.578216372989118,8.661222083494067,18,15,3.9831026108004153,8.266263034194708,0,6,11.720794581342489,1.6709026196040213,11,18,12.125020518898964,4.6737623475492,2,5,2.499325498007238,11.981906790751964,3,6,3.8527671052142978,8.05643713241443,1,15,8.342378538101912,14.232897400390357,11,20,13.799428794998676,9.232232668437064,12,12,16.33276333939284,11.054617333225906,11,20,16.97507004486397,13.260722732637078,4,6,6.6167599754408,19.22195435455069,18,9,11.331331858877093,14.711548290215433,12,17,15.500216999091208,11.385269660037011,1,4,13.2374577797018,10.507736263796687,16,19,16.094458322040737,19.85569832008332,18,19,10.16083139181137,12.922467608936131,19,10,7.800224540755153,5.620446947868913,0,16,14.665577101055533,12.563673503231257,well_rounded,stick_1,0,WellRounded_With_Stick_trial_216f5808739c4ed0bf4338abcb5faed8
